stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\projects\MathWay\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.23417] added dtor for sub_bitmap 0000021CBEE6FFD0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23425] added dtor for sub_bitmap 0000021CBEE70D60, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23434] added dtor for sub_bitmap 0000021CBEE705A0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23443] added dtor for sub_bitmap 0000021CBEE6F430, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23453] added dtor for sub_bitmap 0000021CBEE70980, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23463] added dtor for sub_bitmap 0000021CBEE70790, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23474] added dtor for sub_bitmap 0000021CBEE701C0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23483] added dtor for sub_bitmap 0000021CBEE6F620, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23491] added dtor for sub_bitmap 0000021CBEE6F810, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23498] added dtor for sub_bitmap 0000021CBEE6FA00, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23507] added dtor for sub_bitmap 0000021CBEE6F240, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23515] added dtor for sub_bitmap 0000021CBEE6FBF0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23524] added dtor for sub_bitmap 0000021CBEE6FDE0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23532] added dtor for sub_bitmap 0000021CBEE70B70, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23541] added dtor for sub_bitmap 0000021CBEE703B0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23551] added dtor for sub_bitmap 0000021CBEE70F50, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23562] added dtor for sub_bitmap 0000021CBEE725B0, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23572] added dtor for sub_bitmap 0000021CBEE72F60, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23582] added dtor for sub_bitmap 0000021CBEE71820, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23592] added dtor for sub_bitmap 0000021CBEE72D70, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23602] added dtor for sub_bitmap 0000021CBEE71A10, func 00007FFC8DEE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23612] added dtor for sub_bitmap 0000021CBEE71C00, func 00007FFC8DEE118B
